"name","title_job_descr","university_system","year","regular_pay","overtime_pay","other_pay","total_pay","benefits","total_pay_benefits","title_job_code","cto_name"
"MICHAEL DRAKE","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2023",976325,0,0,976325,62294,1038619,"1","PRESIDENT OF THE UNIVERSITY"
"MICHAEL DRAKE","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2022",933892,0,0,933892,58563,992455,"1","PRESIDENT OF THE UNIVERSITY"
"MICHAEL DRAKE","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2021",849208,0,583,849791,68090,917881,"1","PRESIDENT OF THE UNIVERSITY"
"JANET ANN NAPOLITANO","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2014",570000,0,14611,584611,88456,673067,"1","PRESIDENT OF THE UNIVERSITY"
"JANET NAPOLITANO","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2019",570000,0,8916,578916,76693,655609,"1","PRESIDENT OF THE UNIVERSITY"
"JANET NAPOLITANO","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2018",570000,0,8916,578916,75973,654889,"1","PRESIDENT OF THE UNIVERSITY"
"JANET ANN NAPOLITANO","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2015",570000,0,14503,584503,69964,654467,"1","PRESIDENT OF THE UNIVERSITY"
"JANET NAPOLITANO","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2016",570000,0,8916,578916,72565,651481,"1","PRESIDENT OF THE UNIVERSITY"
"JANET NAPOLITANO","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2017",570000,0,8916,578916,71254,650170,"1","PRESIDENT OF THE UNIVERSITY"
"MARK GEORGE YUDOF","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2012",591084,0,9515,600599,0,600599,"1","PRESIDENT OF THE UNIVERSITY"
"MARK GEORGE YUDOF","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2013",490220,0,20712,510932,28177,539109,"1","PRESIDENT OF THE UNIVERSITY"
"JANET NAPOLITANO","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2020",375250,0,5944,381194,0,381194,"1","PRESIDENT OF THE UNIVERSITY"
"MICHAEL DRAKE","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2020",235214,0,19758,254972,25695,280667,"1","PRESIDENT OF THE UNIVERSITY"
"JANET ANN NAPOLITANO","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2013",97261,0,145223,242484,13717,256201,"1","PRESIDENT OF THE UNIVERSITY"
"SUSAN D DESMOND-HELLMAN","CHAN","UNIVERSITY OF CALIFORNIA","2012",450000,0,8916,458916,0,458916,"30","CHANCELLOR"
"ROBERT J. BIRGENEAU","CHAN","UNIVERSITY OF CALIFORNIA","2012",436800,0,8916,445716,0,445716,"30","CHANCELLOR"
"GENE D. BLOCK","CHAN","UNIVERSITY OF CALIFORNIA","2012",415999.92,0,8916,424915.92,0,424915.92,"30","CHANCELLOR"
"LINDA KATEHI-TSEREGOU","CHAN","UNIVERSITY OF CALIFORNIA","2012",399999.96,0,8916,408915.96,0,408915.96,"30","CHANCELLOR"
"MICHAEL V DRAKE","CHAN","UNIVERSITY OF CALIFORNIA","2012",392199.96,0,8916,401115.96,0,401115.96,"30","CHANCELLOR"
"DOROTHY JANE LELAND","CHAN","UNIVERSITY OF CALIFORNIA","2012",310000.08,0,28291,338291.08,0,338291.08,"30","CHANCELLOR"
