year,job_title,job_title_clean,count,avg_regular_pay,avg_overtime_pay,avg_other_pay,avg_total_pay,avg_benefits,avg_total_pay_benefits,estimated_regular_pay,estimated_overtime_pay,estimated_other_pay,estimated_total_pay,estimated_benefits,estimated_total_pay_benefits,source_page,source_total_pages,source_url,source_note,scraped_at_utc,cache_version
2020,Chf Inv Ofcr,CHF INV OFCR,1,692208,0,789741,1481949,104933,1586882,692208,0,789741,1481949,104933,1586882,1,67,https://transparentcalifornia.com/salaries/2020/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:15:24 UTC,2026-03-31-parser-v2
2020,Ceo Med Ctr,CEO MED CTR,5,987922.8,0,262463.8,1250386.6,95303.6,1345690.2,4939614,0,1312319,6251933,476518,6728451,1,67,https://transparentcalifornia.com/salaries/2020/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:15:24 UTC,2026-03-31-parser-v2
2020,Exec Vp Uc Health,EXEC VP UC HEALTH,1,869800,0,164811,1034611,59836,1094447,869800,0,164811,1034611,59836,1094447,1,67,https://transparentcalifornia.com/salaries/2020/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:15:24 UTC,2026-03-31-parser-v2
2020,Svp Child Svc/Pres Benioff,SVP CHILD SVC/PRES BENIOFF,1,777387,0,212390,989777,79989,1069766,777387,0,212390,989777,79989,1069766,1,67,https://transparentcalifornia.com/salaries/2020/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:15:24 UTC,2026-03-31-parser-v2
2020,Vc And Dean Som,VC AND DEAN SOM,4,702210,0,197063.5,899273.5,56027.5,955301,2808840,0,788254,3597094,224110,3821204,1,67,https://transparentcalifornia.com/salaries/2020/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:15:24 UTC,2026-03-31-parser-v2
2020,Coo Med Ctr,COO MED CTR,4,724978,0,163749.75,888727.75,45075.75,933803.5,2899912,0,654999,3554911,180303,3735214,1,67,https://transparentcalifornia.com/salaries/2020/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:15:24 UTC,2026-03-31-parser-v2
2020,Cso Head Of Hlth Affil Network,CSO HEAD OF HLTH AFFIL NETWORK,1,726920,0,135569,862489,49177,911666,726920,0,135569,862489,49177,911666,1,67,https://transparentcalifornia.com/salaries/2020/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:15:24 UTC,2026-03-31-parser-v2
2020,Ath Mgr 4 Pac12,ATH MGR 4 PAC12,3,328465,0,557586.33,886051.33,23994.67,910046,985395,0,1672758.9899999998,2658153.9899999998,71984.01,2730138,1,67,https://transparentcalifornia.com/salaries/2020/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:15:24 UTC,2026-03-31-parser-v2
2020,Cfo Med Ctr,CFO MED CTR,4,686063.25,0,124782.75,810846,72116,882962,2744253,0,499131,3243384,288464,3531848,1,67,https://transparentcalifornia.com/salaries/2020/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:15:24 UTC,2026-03-31-parser-v2
2020,Cso Med Ctr,CSO MED CTR,1,643307,0,127279,770586,75201,845787,643307,0,127279,770586,75201,845787,1,67,https://transparentcalifornia.com/salaries/2020/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:15:24 UTC,2026-03-31-parser-v2
2020,Exec Vp Physcn Svc Vd Clin Aff,EXEC VP PHYSCN SVC VD CLIN AFF,1,698767,0,99089,797856,24470,822326,698767,0,99089,797856,24470,822326,1,67,https://transparentcalifornia.com/salaries/2020/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:15:24 UTC,2026-03-31-parser-v2
2020,Asc Chf Inv Ofcr,ASC CHF INV OFCR,1,390156,0,284670,674826,88468,763294,390156,0,284670,674826,88468,763294,1,67,https://transparentcalifornia.com/salaries/2020/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:15:24 UTC,2026-03-31-parser-v2
2020,Inv Risk Mgr 3,INV RISK MGR 3,1,324953,0,331340,656293,37345,693638,324953,0,331340,656293,37345,693638,1,67,https://transparentcalifornia.com/salaries/2020/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:15:24 UTC,2026-03-31-parser-v2
2020,Cmo Med Ctr,CMO MED CTR,3,506825.33,0,69706.33,576531.67,95725.67,672257.33,1520475.99,0,209118.99,1729595.0100000002,287177.01,2016771.9899999998,1,67,https://transparentcalifornia.com/salaries/2020/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:15:24 UTC,2026-03-31-parser-v2
