year,pay_component,annual_amount
2011,Regular pay,30611397.43999999
2011,Overtime pay,3732337.9500000016
2011,Other pay,1860456.1600000008
2011,Benefits,0
2012,Regular pay,31900162.710000005
2012,Overtime pay,4319948.600000001
2012,Other pay,1917319.1699999988
2012,Benefits,0
2013,Regular pay,32129834
2013,Overtime pay,4756652
2013,Other pay,2364709
2013,Benefits,8495267
2014,Regular pay,35215453
2014,Overtime pay,5763632
2014,Other pay,1772911
2014,Benefits,9997939
2015,Regular pay,35078970
2015,Overtime pay,6525798
2015,Other pay,1866806
2015,Benefits,10546867
2016,Regular pay,37285260
2016,Overtime pay,6397108
2016,Other pay,1891456
2016,Benefits,11069478
2017,Regular pay,38155799
2017,Overtime pay,7475624
2017,Other pay,2166025
2017,Benefits,11339054
2018,Regular pay,40893667
2018,Overtime pay,7616645
2018,Other pay,3845016
2018,Benefits,10825830
2019,Regular pay,40939660
2019,Overtime pay,7830107
2019,Other pay,5036360
2019,Benefits,8782712
2020,Regular pay,43110673
2020,Overtime pay,5733716
2020,Other pay,5911404
2020,Benefits,6516635
2021,Regular pay,42769481
2021,Overtime pay,5526809
2021,Other pay,5807517
2021,Benefits,6355732
2022,Regular pay,44182658
2022,Overtime pay,8837258
2022,Other pay,6854605
2022,Benefits,6480117
2023,Regular pay,49588606
2023,Overtime pay,9772747
2023,Other pay,8809606
2023,Benefits,6928817
2024,Regular pay,56026867
2024,Overtime pay,13863541
2024,Other pay,10048299
2024,Benefits,7791721
